timestamp_ms,shoulder_pan_deg,shoulder_lift_deg,elbow_deg,wrist1_deg,wrist2_deg,wrist3_deg,gripper_pct
0,0.0,-45.0,90.0,0.0,90.0,0.0,100
200,5.2,-42.1,87.3,1.1,89.2,2.3,100
400,12.8,-38.5,82.1,3.4,87.1,5.6,100
600,22.1,-33.2,75.6,6.2,84.3,9.1,95
800,30.5,-27.8,68.9,9.8,80.5,13.2,85
1000,35.0,-25.0,65.0,12.0,78.0,15.0,50
1200,35.0,-25.0,65.0,12.0,78.0,15.0,20
1400,35.0,-25.0,65.0,12.0,78.0,15.0,0
1600,30.1,-28.3,70.2,9.1,81.2,12.5,0
1800,22.5,-33.8,76.1,5.8,84.8,8.7,0
2000,12.3,-39.1,83.0,3.1,87.5,5.2,0
2200,5.0,-42.5,87.8,1.0,89.5,2.1,50
2400,0.0,-45.0,90.0,0.0,90.0,0.0,100
